Year;Sport;Samples;Total findings;% findings
2003;Aquatics;9.270;52;0,56%
2004;Aquatics;9.518;58;0,61%
2005;Aquatics;10.352;130;1,26%
2006;Aquatics;11.582;137;1,18%
2007;Aquatics;12.550;154;1,23%
2008;Aquatics;14.020;169;1,21%
2009;Aquatics;13.995;156;1,11%
2010;Aquatics;13.138;155;1,18%
2003;Archery;685;11;1,61%
2004;Archery;721;3;0,42%
2005;Archery;850;25;2,94%
2006;Archery;845;11;1,30%
2007;Archery;1.063;14;1,32%
2008;Archery;1.000;17;1,70%
2009;Archery;975;18;1,85%
2010;Archery;1.156;21;1,82%
2003;Athletics;18.876;276;1,46%
2004;Athletics;19.991;229;1,15%
2005;Athletics;20.464;342;1,67%
2006;Athletics;19.781;315;1,59%
2007;Athletics;23.305;304;1,30%
2008;Athletics;26.984;361;1,34%
2009;Athletics;26.593;398;1,50%
2010;Athletics;25.013;438;1,75%
2003;Badminton;697;4;0,57%
2004;Badminton;898;7;0,78%
2005;Badminton;890;13;1,46%
2006;Badminton;1.066;10;0,94%
2007;Badminton;993;9;0,91%
2008;Badminton;1.167;15;1,29%
2009;Badminton;1.175;8;0,68%
2010;Badminton;1.250;5;0,40%
2003;Baseball;1.051;26;2,47%
2004;Baseball;8.736;250;2,86%
2005;Baseball;10.580;390;3,69%
2006;Baseball;15.977;370;2,32%
2007;Baseball;16.971;456;2,69%
2008;Baseball;19.429;228;1,17%
2004;Baseball/ Softball;165;8;4,85%
2005;Baseball/Softball;170;11;6,47%
2006;Baseball/Softball;104;6;5,77%
2007;Baseball/Softball;116;9;7,76%
2008;Baseball/Softball;115;7;6,09%
2003;Basketball;3.872;75;1,94%
2004;Basketball;3.990;81;2,03%
2005;Basketball;4.785;103;2,15%
2006;Basketball;7.473;136;1,82%
2007;Basketball;8.674;214;2,47%
2008;Basketball;10.572;264;2,50%
2009;Basketball;11.150;341;3,06%
2010;Basketball;9.575;201;2,10%
2003;Biathlon;893;4;0,45%
2004;Biathlon;804;4;0,50%
2005;Biathlon;998;16;1,60%
2006;Biathlon;1.094;21;1,92%
2007;Biathlon;1.160;13;1,12%
2008;Biathlon;1.297;19;1,46%
2009;Biathlon;2.148;27;1,26%
2010;Biathlon;1.967;18;0,92%
2003;Bobsleigh;756;7;0,93%
2004;Bobsleigh;536;6;1,12%
2005;Bobsleigh;1.101;21;1,91%
2006;Bobsleigh;908;13;1,43%
2007;Bobsleigh;851;16;1,88%
2008;Bobsleigh;1.062;26;2,45%
2009;Bobsleigh;1.440;19;1,32%
2010;Bobsleigh;1.214;19;1,57%
2003;Boxing;1.904;70;3,68%
2004;Boxing;2.205;70;3,17%
2005;Boxing;2.433;83;3,41%
2006;Boxing;2.553;61;2,39%
2007;Boxing;2.757;87;3,16%
2008;Boxing;3.387;115;3,40%
2009;Boxing;3.231;85;2,63%
2010;Boxing;3.874;110;2,84%
2003;Canoe / Kayak;2.250;15;0,67%
2004;Canoe / Kayak;2.570;18;0,70%
2005;Canoe / Kayak;2.921;57;1,95%
2006;Canoe / Kayak;2.918;34;1,17%
2007;Canoe / Kayak;3.426;65;1,90%
2008;Canoe / Kayak;3.817;59;1,55%
2009;Canoe / Kayak;3.821;72;1,88%
2010;Canoe / Kayak;3.726;50;1,34%
2003;Curling;232;2;0,86%
2004;Curling;158;3;1,90%
2005;Curling;349;9;2,58%
2006;Curling;350;2;0,57%
2007;Curling;220;9;4,09%
2008;Curling;685;17;2,48%
2009;Curling;467;14;3,00%
2010;Curling;477;8;1,68%
2003;Cycling;12.352;486;3,93%
2004;Cycling;13.199;607;4,60%
2005;Cycling;12.751;482;3,78%
2006;Cycling;14.229;594;4,17%
2007;Cycling;16.462;643;3,91%
2008;Cycling;19.436;732;3,77%
2009;Cycling;21.835;724;3,32%
2010;Cycling;21.427;613;2,86%
2003;Equestrian;605;13;2,15%
2004;Equestrian;718;11;1,53%
2005;Equestrian;620;9;1,45%
2006;Equestrian;579;8;1,38%
2007;Equestrian;878;12;1,37%
2008;Equestrian;845;23;2,72%
2009;Equestrian;462;12;2,60%
2010;Equestrian;723;17;2,35%
2003;Fencing;1.494;19;1,27%
2004;Fencing;1.586;15;0,95%
2005;Fencing;1.781;31;1,74%
2006;Fencing;1.837;11;0,60%
2007;Fencing;2.032;28;1,38%
2008;Fencing;2.143;36;1,68%
2009;Fencing;1.918;28;1,46%
2010;Fencing;1.916;28;1,46%
2003;Football;20.104;187;0,93%
2004;Football;22.329;203;0,91%
2005;Football;23.478;343;1,46%
2006;Football;25.727;281;1,09%
2007;Football;28.313;348;1,23%
2008;Football;33.445;549;1,64%
2009;Football;32.526;569;1,75%
2010;Football;30.398;403;1,33%
2003;Gymnastics;1.527;8;0,52%
2004;Gymnastics;1.803;7;0,39%
2005;Gymnastics;1.918;20;1,04%
2006;Gymnastics;2.102;21;1,00%
2007;Gymnastics;2.273;31;1,36%
2008;Gymnastics;2.451;37;1,51%
2009;Gymnastics;2.462;37;1,50%
2010;Gymnastics;2.670;33;1,24%
2003;Handball;1.980;29;1,46%
2004;Handball;2.459;35;1,42%
2005;Handball;2.395;53;2,21%
2006;Handball;2.568;51;1,99%
2007;Handball;3.091;70;2,26%
2008;Handball;3.916;66;1,69%
2009;Handball;3.650;74;2,03%
2010;Handball;4.141;67;1,62%
2003;Hockey;1.186;22;1,85%
2004;Hockey;1.355;8;0,59%
2005;Hockey;1.339;19;1,42%
2006;Hockey;1.744;32;1,83%
2007;Hockey;1.674;28;1,67%
2008;Hockey;2.331;26;1,12%
2009;Hockey;2.118;45;2,12%
2010;Hockey;2.275;57;2,51%
2004;Hockey/ Skating;71;1;1,41%
2005;Hockey/Skating;101;3;2,97%
2006;Hockey/Skating;16;0;0,00%
2009;Hockey/Skating;43;1;2,33%
2003;Ice Hockey;2.446;38;1,55%
2004;Ice Hockey;2.359;54;2,29%
2005;Ice Hockey;2.751;79;2,87%
2006;Ice Hockey;5.011;94;1,88%
2007;Ice Hockey;4.385;104;2,37%
2008;Ice Hockey;4.748;113;2,38%
2009;Ice Hockey;6.065;151;2,49%
2010;Ice Hockey;5.370;131;2,44%
2003;Ice Sport;163;1;0,61%
2004;Ice Sport;292;4;1,37%
2005;Ice Sport;395;11;2,78%
2006;Ice Sport;289;7;2,42%
2007;Ice Sport;444;6;1,35%
2008;Ice Sport;93;2;2,15%
2009;Ice Sport;84;2;2,38%
2003;Judo;2.476;20;0,81%
2004;Judo;2.829;31;1,10%
2005;Judo;3.043;38;1,25%
2006;Judo;3.121;45;1,44%
2007;Judo;3.759;45;1,20%
2008;Judo;3.867;53;1,37%
2009;Judo;4.068;55;1,35%
2010;Judo;4.068;74;1,82%
2003;Luge;144;0;0,00%
2004;Luge;136;0;0,00%
2005;Luge;178;0;0,00%
2006;Luge;208;3;1,44%
2007;Luge;280;3;1,07%
2008;Luge;142;1;0,70%
2009;Luge;588;9;1,53%
2010;Luge;434;3;0,69%
2003;Modern Pentathlon;359;2;0,56%
2004;Modern Pentathlon;553;3;0,54%
2005;Modern Pentathlon;468;9;1,92%
2006;Modern Pentathlon;480;10;2,08%
2007;Modern Pentathlon;553;11;1,99%
2008;Modern Pentathlon;713;3;0,42%
2009;Modern Pentathlon;548;8;1,46%
2010;Modern Pentathlon;569;6;1,05%
2006;Paralympic Sports;1.881;41;2,18%
2007;Paralympic Sports;1.519;30;1,97%
2008;Paralympic Sports;1.529;29;1,90%
2009;Paralympic Sports;820;18;2,20%
2010;Paralympic Sports;1.635;23;1,41%
2003;Rowing;2.750;11;0,40%
2004;Rowing;2.656;17;0,64%
2005;Rowing;3.096;45;1,45%
2006;Rowing;3.221;53;1,65%
2007;Rowing;4.053;66;1,63%
2008;Rowing;4.812;79;1,64%
2009;Rowing;4.592;57;1,24%
2010;Rowing;4.424;36;0,81%
2003;Sailing;835;8;0,96%
2004;Sailing;910;9;0,99%
2005;Sailing;1.082;23;2,13%
2006;Sailing;1.000;17;1,70%
2007;Sailing;1.306;18;1,38%
2008;Sailing;1.330;15;1,13%
2009;Sailing;856;18;2,10%
2010;Sailing;795;17;2,14%
2003;Shooting;1.391;10;0,72%
2004;Shooting;1.751;28;1,60%
2005;Shooting;1.939;23;1,19%
2006;Shooting;2.406;13;0,54%
2007;Shooting;2.447;37;1,51%
2008;Shooting;2.728;45;1,65%
2009;Shooting;2.630;37;1,41%
2010;Shooting;2.960;25;0,84%
2003;Skating;2.462;13;0,53%
2004;Skating;2.338;11;0,47%
2005;Skating;3.085;57;1,85%
2006;Skating;3.078;41;1,33%
2007;Skating;3.096;27;0,87%
2008;Skating;3.187;52;1,63%
2009;Skating;4.346;47;1,08%
2010;Skating;3.660;24;0,66%
2003;Skiing;3.701;40;1,08%
2004;Skiing;3.354;42;1,25%
2005;Skiing;4.467;83;1,86%
2006;Skiing;3.901;76;1,95%
2007;Skiing;3.844;71;1,85%
2008;Skiing;3.871;69;1,78%
2009;Skiing;5.742;84;1,46%
2010;Skiing;5.332;85;1,59%
2003;Softball;335;1;0,30%
2004;Softball;501;1;0,20%
2005;Softball;542;2;0,37%
2006;Softball;491;7;1,43%
2007;Softball;710;3;0,42%
2008;Softball;1.253;2;0,16%
2003;Table Tennis;649;8;1,23%
2004;Table Tennis;764;8;1,05%
2005;Table Tennis;787;11;1,40%
2006;Table Tennis;827;10;1,21%
2007;Table Tennis;853;10;1,17%
2008;Table Tennis;1.074;10;0,93%
2009;Table Tennis;1.066;14;1,31%
2010;Table Tennis;985;19;1,93%
2003;Taekwondo;989;10;1,01%
2004;Taekwondo;1.228;7;0,57%
2005;Taekwondo;1.318;26;1,97%
2006;Taekwondo;1.328;21;1,58%
2007;Taekwondo;1.574;16;1,02%
2008;Taekwondo;1.420;17;1,20%
2009;Taekwondo;1.679;25;1,49%
2010;Taekwondo;1.556;20;1,29%
2003;Tennis;2.624;32;1,22%
2004;Tennis;2.538;45;1,77%
2005;Tennis;2.558;64;2,50%
2006;Tennis;2.748;44;1,60%
2007;Tennis;3.050;57;1,87%
2008;Tennis;4.276;32;0,75%
2009;Tennis;3.945;54;1,37%
2010;Tennis;3.638;38;1,04%
2003;Triathlon;1.664;23;1,38%
2004;Triathlon;1.547;28;1,81%
2005;Triathlon;2.170;74;3,41%
2006;Triathlon;2.366;67;2,83%
2007;Triathlon;2.657;67;2,52%
2008;Triathlon;3.043;83;2,73%
2009;Triathlon;3.262;102;3,13%
2010;Triathlon;3.676;86;2,34%
2003;Unknown;450;2;0,44%
2004;Unknown;192;4;2,08%
2003;Volleyball;2.732;35;1,28%
2004;Volleyball;3.024;37;1,22%
2005;Volleyball;2.621;54;2,06%
2006;Volleyball;3.340;48;1,44%
2007;Volleyball;4.136;59;1,43%
2008;Volleyball;5.210;68;1,31%
2009;Volleyball;5.121;89;1,74%
2010;Volleyball;4.750;75;1,58%
2003;Weightlifting;5.347;110;2,06%
2004;Weightlifting;5.234;158;3,02%
2005;Weightlifting;5.842;146;2,50%
2006;Weightlifting;6.543;187;2,86%
2007;Weightlifting;6.620;200;3,02%
2008;Weightlifting;7.307;226;3,09%
2009;Weightlifting;7.534;225;2,99%
2010;Weightlifting;8.316;247;2,97%
2003;Wrestling;2.311;40;1,73%
2004;Wrestling;2.573;34;1,32%
2005;Wrestling;3.218;53;1,65%
2006;Wrestling;3.055;58;1,90%
2007;Wrestling;3.907;65;1,66%
2008;Wrestling;4.891;79;1,62%
2009;Wrestling;4.894;93;1,90%
2010;Wrestling;5.111;88;1,72%
